,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Exit Target,LP Tag,Entity Type,Stage,Sector Focus,Sectors Avoided,Typical Cheque Size,Min Cheque Size,Max Cheque Size,Fund Contacts,Investments,Website,Location,,,Investor Notes,Interactions (Blume),Introductions (Startups),Lead flag,Impact/ESG flag,Connected?,Conflicts / Common Cos,Status,Priority,Sector Grouping
021 Capital,,,Venture Capital,Seed,,,,,,"Sailesh Tulshan,Anirudh Iyer",Stellapps,,BLR,,,Sailesh Tulshan - Advisor to Stellapps,,"01-09-21 | 021 Capital?Cellfish,19-09-22 | 021 Capital?cAImera (Relove),19-09-22 | 021 Capital?Wify,19-09-22 | 021 Capital?Scenes",checked,,,?Stellapps,,,
57 Stars,TG 2 ($500M+),,Fund-of-Funds or LP,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Software & Technology,Healthcare & Lifesciences,BFSI & Fintech,Impact/ESG",,,,,Amit Chandra,"Capillary Technologies,WayCool,Droom,Servify,Loadshare",https://www.57stars.com/,"USA (other),California,Tokyo",,,"LP in funds + Direct co-investments in late stages only where GPs are invested. 
Slow process, already approached thrice and no response.",,,checked,,,"Droom?Spinny, ?Servify",,,Diversified
100Unicorns (fka 9Unicorns),,,Venture Capital,"Angel & Pre-Seed,""Early (A,B)"",Seed","Consumer,Software & Technology,Edtech & Upskilling,Healthcare & Lifesciences,EV & Mobility",,$2-3M,,,"Noah Burges,Apoorva Sharma","Shiprocket,Zypp Electric,Renee Cosmetics,Rupeek,LeverageEdu",,BOM,,,"fund of the venture capitalist angel group
can come up with a series B opportunistically but not a co-lead

they can lead up to Series A them into a term sheets of 2 million in a $5 million round",,19-09-22 | 100Unicorns (fka 9Unicorns)?Leher,checked,checked,checked,"Renee Cosmetics?Purplle, LeverageEdu?Leverage.biz",,Medium,Diversified
108 Capital,,,Private Equity,"""Early (A,B)""","BFSI & Fintech,Supply chain & Logistics,Software & Technology,Edtech & Upskilling,Healthcare & Lifesciences",,,,$20M,Sushma Kaushik," Policybazaar, Suryoday, Equitas Small Finance, Utkarsh Bank, Barbeque Nation, Care Health Insurance, AgniKul, SUGAR Cosmetics,Stockgro,NSE",,,,,"Started by Sushma Kaushik, ex-partner at Aavishkaar
$40-100 Mn valuation. 50% participation in rounds upto 20m. 
Value buys on path to IPO/M&A",22-05-24 | 108 Capital,,,,checked,,,Medium,"BFSI & Fintech,Supply chain & Logistics,Software & Technology,Edtech & Upskilling,Healthcare & Lifesciences"
360 Nautica,,,Venture Capital,,,,,,,Manik Kinra,,,,,,,,,,,,,,,
360 One - Healthcare & Consumer (IIFL),TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M),Public Markets","Consumer,Healthcare & Lifesciences,Software & Technology",,,,,Tarun Sharma,"Hearzap,A4 Hospitals",https://www.360.one/asset,BOM,,,Part of 360 One AMC - Led by Tarun Sharma (ex-MegaDelta),,,checked,,checked,,Active,High,"Consumer,Healthcare & Lifesciences,Software & Technology"
360 One - IIFL Fintech Fund,TG 1 ($100-500M),,Venture Capital,"""Early (A,B)"",""Mid (B,C)""",BFSI & Fintech,,,,,Mehekka Oberoi,"Multipl,Finbox,Insurance Samadhan,Riskcovry,Trust Checkr",https://www.360.one/,BOM,,,"Fintech-focused early-to-growth stage fund of IIFL Group.
Launched two early-stage venture funds totaling ?1,700 crore, including a Category-I venture fund and an angel fund.",,"23-03-22 | 360 One - IIFL Fintech Fund?Aerem,23-03-22 | 360 One - IIFL Fintech Fund?Ati Motors,23-03-22 | 360 One - IIFL Fintech Fund?BatterySmart,23-03-22 | 360 One - IIFL Fintech Fund?HealthAssure,23-03-22 | 360 One - IIFL Fintech Fund?Instamojo,23-03-22 | 360 One - IIFL Fintech Fund?Medfin,23-03-22 | 360 One - IIFL Fintech Fund?SmartStaff,23-03-22 | 360 One - IIFL Fintech Fund?THB,23-03-22 | 360 One - IIFL Fintech Fund?Unocoin,23-03-22 | 360 One - IIFL Fintech Fund?Uolo,19-04-22 | 360 One - IIFL Fintech Fund?Slice",checked,,checked,"?Multipl, Riskcovry?Zopper, Trust Checkr?Idfy",,High,BFSI & Fintech
360 One - Pre IPO (IIFL),"TG 2 ($500M+),TG 3 (Pre-IPO)",,Private Equity,"""Growth (C,D)"",Late Growth (>$500M)","BFSI & Fintech,Consumer,Healthcare & Lifesciences,Software & Technology",,,,,Umesh Agarwal,"NSE,Nazara,CAMS,Equitas SFB,Cartrade",https://www.360.one/,BOM,,,"IIFL's pre-IPO strategy (Special Opportunity Funds - SOF)
Prefer BFSI & Consumer primarily
Some Pre IPO deals - Equitas SFB, CarTrade, Rustomjee, Nippon India MF, ICICI Lombard, CAMS,",,,checked,,,"Equitas SFB?Slice, Cartrade?Spinny",Active,,"BFSI & Fintech,Consumer,Healthcare & Lifesciences,Software & Technology"
360 One AMC (IIFL),TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M),Public Markets","BFSI & Fintech,Software & Technology,Consumer,EV & Mobility,Supply chain & Logistics",,-,,,"Chetan Naik,Karan Ahuja,Stuti Bhartia,Karan Bhagat,Sameer Nath","Exotel,Koo,Clevertap,Swiggy,Policybazaar,Byju's,DailyHunt,Zetwerk,HomeLane,Pine Labs,Licious,Dealshare,Uniphore,Country Delight,Upgrade,Digit,Ola Electric,NSE,Qure.ai,Aereo,Coreel",https://www.360.one/,BOM,,,"Asset-management arm of 360 One (IIFL) group.
Multiple investment vehicles with different focus sectors, but typically make investments in growth-stage & onwards in BFSI & software companies. Some categories are below:
- SOF Series 1-10+ - Pre-IPO Investments
- IIFL PE Fund - PE investments with short-tenure liquidity
- Healthcare & Consumer fund (separate entry)
- Early-to-growth stage Fintech Fund (separate entry)",16-11-22 | 360 One AMC (IIFL),"19-05-22 | 360 One AMC (IIFL)?Bureau,04-05-23 | 360 One AMC (IIFL)?Rocketium,31-10-23 | 360 One AMC (IIFL)?Uolo,12-07-23 | 360 One AMC (IIFL)?Futwork,28-02-24 | 360 One AMC (IIFL)?Lambdatest,28-02-24 | 360 One AMC (IIFL)?Ultrahuman,28-02-24 | 360 One AMC (IIFL)?Virohan",checked,,checked,"?Exotel, ?Koo, Clevertap?Webengage, Swiggy?Dunzo, Policybazaar?Turtlemint, Zopper, Byju's?Unacademy, Ola Electric?Euler Motors",,High,Diversified
500 Startups Global,,,Venture Capital,Seed,"Consumer,Software & Technology",,,,,Paul E. Yoo,"Instamojo,Intrcity,Stellapps",,,,,"500 startups - global funds not been visible in this country for five years
Small cheques",,,,,,"?Instamojo, ?Intrcity, ?Stellapps",,,"Consumer,Software & Technology"
A91 Partners,TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences",,$15M,$10M,$30M,"Abhay Pandey,Gautam Mago,Krunali Shah,Kaushik Anand,VT Bharadwaj,Prasun Agarwal","Exotel,SUGAR Cosmetics,Aye Finance,Digit,inshorts,Soothe Healthcare,Shipsy,Finbox,Healthkart,Blue Tokai Coffee",https://a91partners.com/,BOM,,,"*3 funds totalling $1bn+ led by Gautam Mago
*Sector agnostic but like consumer, fintech, software
*Many investments in non-VC funded cos but family or self funded world - Akshayakalpa, WeWork, etc.
*Target cos with trajectory to 150 cr EBITDA pre or post IPO, maybe $1 bn exit.
*Okay to evaluate cos in INR 2-3 cr pm revenue range","15-11-22 | A91 Partners,25-04-24 | A91 Partners,23-09-24 | A91 Partners","01-09-21 | A91 Partners?SmartStaff,02-09-21 | A91 Partners?Superset,07-09-21 | A91 Partners?Medfin,23-03-22 | A91 Partners?Alippo,23-03-22 | A91 Partners?Ati Motors,23-03-22 | A91 Partners?Glamplus,23-03-22 | A91 Partners?Kaleidofin,23-03-22 | A91 Partners?Rocketium,23-03-22 | A91 Partners?SmartStaff,23-03-22 | A91 Partners?Wizcommerce,23-03-22 | A91 Partners?Zipy,02-04-22 | A91 Partners?BHIVE Workspace,02-04-22 | A91 Partners?Futwork,02-04-22 | A91 Partners?Scribble Data,02-04-22 | A91 Partners?STAGE,02-04-22 | A91 Partners?Unocoin,04-04-22 | A91 Partners?LoveLocal,19-05-22 | A91 Partners?Bureau,19-09-22 | A91 Partners?Alippo,19-09-22 | A91 Partners?Enumerate,19-09-22 | A91 Partners?Fleek,19-09-22 | A91 Partners?Jobsgaar,19-09-22 | A91 Partners?Multipl,19-09-22 | A91 Partners?PickMyWork,19-09-22 | A91 Partners?Zipy,19-09-22 | A91 Partners?BlueCopa,19-09-22 | A91 Partners?Monrow,16-11-22 | A91 Partners?BatterySmart,16-11-22 | A91 Partners?Webengage,16-11-22 | A91 Partners?Ati Motors,16-11-22 | A91 Partners?BatterySmart,25-02-23 | A91 Partners?Grey Orange,23-10-24 | A91 Partners?Namma Yatri,28-02-24 | A91 Partners?Aerem,28-02-24 | A91 Partners?Freakins,28-02-24 | A91 Partners?SmartStaff",checked,,checked,"?Exotel, Shipsy?Freightify (BFF)",,High,Diversified
Aavishkaar Capital,,,Venture Capital,"""Early (A,B)"",Seed","Consumer,BFSI & Fintech,Healthcare & Lifesciences,Edtech & Upskilling",,$5M,$5M,$10M,"Tarun Mehta,Divya Gupta,Shivank Sarin,Vineet Rai,Subit Saurav,Shashvat Rai,Harsh Kherajani,Ankita Satpathy"," Agrostar, Suryoday, Utkarsh Bank, Arohan, MoooFarm, Electronic Payment and Services, GO DESi, InI Farms, Belstar Investment and Finance, Altum Credo",,BOM,,,"Impact only $150-200 M fund
Good relationship
US to connect",27-09-24 | Aavishkaar Capital,"30-08-21 | Aavishkaar Capital?Cashify,30-08-21 | Aavishkaar Capital?LBB,30-08-21 | Aavishkaar Capital?Yulu,30-08-21 | Aavishkaar Capital?Instamojo,18-02-21 | Aavishkaar Capital?HealthAssure,23-03-22 | Aavishkaar Capital?Aerem,23-03-22 | Aavishkaar Capital?Futwork,23-03-22 | Aavishkaar Capital?HealthAssure,23-03-22 | Aavishkaar Capital?Medfin,23-03-22 | Aavishkaar Capital?Autoverse,23-03-22 | Aavishkaar Capital?Pixxel,23-03-22 | Aavishkaar Capital?Tricog,02-04-22 | Aavishkaar Capital?Jai Kisan,02-04-22 | Aavishkaar Capital?Leverage.biz,02-04-22 | Aavishkaar Capital?Procol,02-04-22 | Aavishkaar Capital?STAGE,19-05-22 | Aavishkaar Capital?Bureau,19-09-22 | Aavishkaar Capital?Money Club (BFF),19-09-22 | Aavishkaar Capital?Multipl,19-09-22 | Aavishkaar Capital?PickMyWork,19-09-22 | Aavishkaar Capital?Monrow,19-09-22 | Aavishkaar Capital?Jobsgaar,03-10-24 | Aavishkaar Capital?DPDZero,28-02-24 | Aavishkaar Capital?HealthAssure,28-02-24 | Aavishkaar Capital?SmartStaff,28-02-24 | Aavishkaar Capital?Zopper",checked,checked,checked,,,Medium,Diversified
Ab Initio Capital,,,Venture Capital,,,,,,,Haifei Zhang," Ola Electric, KrazyBee,Delhivery",,,,,,,,,,,,,,
Abakkus Four2Eight Opportunities Fund,TG 3 (Pre-IPO),,Crossover,"""Growth (C,D)"",Late Growth (>$500M),Public Markets","Industrials,RE & Infra,Healthcare & Lifesciences,Software & Technology,BFSI & Fintech,Consumer",,$20M,$5M,$30M,"Sunil Singhania,Ankit Aggarwal",Veeda Clinical Research,https://abakkusinvest.com/alternative-investment-funds-aifs/,BOM,,,"- Pre-IPO fund of Abakkus, which is a listed equities manager. 
- Closed 1st fund in Sep'24 with $300m raised
- Sector agnostic. INR 50-250 cr cheques in mid/Late-stage companies which are 0.5-2.5yr away from IPO. 
- Only look at profitable companies, ideally INR 50+ cr (preferably PAT over EBITDA). Use P/E multiple to value companies, no topline multiples.
- Want to add more tech companies, but difficult given above parameters.",04-12-24 | Abakkus Four2Eight Opportunities Fund,,checked,,checked,,Active,,Diversified
ABB Technology Investors,,,Corporate VC,Seed,,,,,,,Stellapps,,,,,,,,,,,?Stellapps,,,
ABC Impact Fund,TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","BFSI & Fintech,Impact/ESG,Edtech & Upskilling,Healthcare & Lifesciences,Agritech,Consumer",,$30M,$10M,$50M,"Sugandhi Matta,Aditya Misra","Vedantu,HealthcareHome,Cropin",https://abcimpact.com.sg/,SIN,,,"Temasek-anchored impact fund for Asia investments (30-40% India). 
$300M Fund I. $550M+ Fund II closing in 2024 - 4yr deployment.
Aditya (ex-Omidyar) connected with Sajith. ",09-02-22 | ABC Impact Fund,"24-02-22 | ABC Impact Fund?Jai Kisan,24-02-22 | ABC Impact Fund?Niqo Robotics (Tartan Sense),05-09-22 | ABC Impact Fund?Tricog,18-07-24 | ABC Impact Fund?Virohan",checked,checked,checked,Vedantu?Unacademy,,,Diversified
Abdul Latif Jameel,,,Corporate BSheet,"""Early (A,B)""","EV & Mobility,RE & Infra",,,,,Ekim Kankotan,"Greaves Electric Mobility,Ampere Vehicles",,"Middle East (other),UAE",,,"Diversified businesses in 8 sectors incl transportation, engineering & manufacturing, RE, health, financial services.
",,,checked,,,,Active,,"EV & Mobility,RE & Infra"
Abler Nordic,TG 1 ($100-500M),,Venture Capital,"""Mid (B,C)"",""Growth (C,D)"",""Early (A,B)""",BFSI & Fintech,,,,,Smriti Chandra,"Utkarsh SFB,Dvara KGFS,Sindhuja Microcredit,Ergos",https://www.ablernordic.com/,"Europe (other),DEL",,,"Estb. in 2008 in Norway as a public-private partnership
- Public: Norfund and IFU, the Norwegian and Danish DFIs 
- Private: DNB Livsforsikring, Ferd, KLP, etc.
Impact-focussed investments in BFS (financial inclusion) across Africa and Asia. Strictly double bottom line investor.
Fka Nordic Microfinance Initiative (NMI).
",,,checked,checked,,Utkarsh SFB?Slice,Active,,
Abstract Ventures,,,Venture Capital,"Seed,""Early (A,B)""","Software & Technology,Consumer,Healthcare & Lifesciences,BFSI & Fintech,RE & Infra,EV & Mobility,Supply chain & Logistics,Edtech & Upskilling",,,,,"Ramtin Naimi,Alex Davidov","Stashfin,CrediWatch",,SFO,,,"Focusses on AI, Blockchain and Cryptocurrency, Biotech, Consumer, Enterprise and Frontier Tech.
Most investments in Seed and Series A.",,,checked,,,,Active,,Diversified
Abu Dhabi Investment Authority (ADIA),"TG 1 ($100-500M),TG 2 ($500M+),TG 3 (Pre-IPO)",Existing LP,Sovereign Entity,"""Growth (C,D)"",Late Growth (>$500M),Public Markets","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences,RE & Infra",,$100M,$50M,,"Haresh Balani,Vinod Paddikkal,Kabir Mathur","Dealshare,Purplle,Lenskart,MobiKwik",https://www.adia.ae/,UAE,,,"Sovereign wealth fund of Abu Dhabi govt. with $1 Tn AUM. 
Invests globally across asset classes like equities, bonds, private equity, RE & Infra, credit, etc.
Setting up a $4-5bn fund in GIFT in 2024.
LP in Blume Fund IV","19-08-21 | Abu Dhabi Investment Authority (ADIA),04-01-22 | Abu Dhabi Investment Authority (ADIA)","19-08-21 | Abu Dhabi Investment Authority (ADIA)?Turtlemint,04-01-22 | Abu Dhabi Investment Authority (ADIA)?Zopper,23-03-22 | Abu Dhabi Investment Authority (ADIA)?Jai Kisan,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Futwork,02-04-22 | Abu Dhabi Investment Authority (ADIA)?HealthAssure,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Idfy,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Instamojo,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Leverage.biz,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Procol,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Rocketium,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Scribble Data,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Squadstack,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Tricog,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Webengage,02-04-22 | Abu Dhabi Investment Authority (ADIA)?Zipy,04-04-22 | Abu Dhabi Investment Authority (ADIA)?Ultrahuman,15-04-22 | Abu Dhabi Investment Authority (ADIA)?Euler Motors,15-04-22 | Abu Dhabi Investment Authority (ADIA)?Pixxel,09-02-23 | Abu Dhabi Investment Authority (ADIA)?BatterySmart,23-02-23 | Abu Dhabi Investment Authority (ADIA)?Grey Orange,04-03-24 | Abu Dhabi Investment Authority (ADIA)?Zopper,04-03-24 | Abu Dhabi Investment Authority (ADIA)?STAGE,04-03-24 | Abu Dhabi Investment Authority (ADIA)?Webengage,28-02-24 | Abu Dhabi Investment Authority (ADIA)?BatterySmart,28-02-24 | Abu Dhabi Investment Authority (ADIA)?Ultrahuman,28-02-24 | Abu Dhabi Investment Authority (ADIA)?Zopper",checked,,checked,"?Purplle, MobiKwik?Slice",,High,Diversified
AC Ventures,,,Corporate VC,"""Early (A,B)""",Consumer,,,,,"Shibata Salazar Hector,Garcia Chapa Jesus Eduardo",LoveLocal,,,,,,,,,,checked,?LoveLocal,,,Consumer
Accel (Early),,,Venture Capital,"Angel & Pre-Seed,Seed","Consumer,BFSI & Fintech,Software & Technology,Edtech & Upskilling,Healthcare & Lifesciences,EV & Mobility,Supply chain & Logistics",Deep tech,$5M,$2M,$10M,"Manasi Shah,Dinesh Katiyar,Shekhar Kirani,Prayank Swaroop,Pratik Agarwal,Barath Subramanian,Abhinav Chaturvedi,Mahendran Balacharan,Radhika Ananth,Alok Bhatija,Anand Daniel,Prashanth Prakash,Subrata Mitra","Breathe Wellbeing,MyGlamm,Mensa Brands,Indifi,Eruditus,HomeLane,FactorDaily,Taxi For Sure,Hotelogix,Onsitego,Samunnati,Fashionza,Spyne.ai,Bounce,Koo,MechMocha,Mobstac,Sprinto,Systemantics,Zolve,Uni Card",,BLR,,,"Atoms (partner with Blume): $250K standard, uncapped convertible (40-50 in a fund cycle)
Seed and Series A: $250K - $10M Seed/A (40-50 in a fund cycle)
Growth cheques: $30-50M (4-5 in a fund)
Global Growth Fund $2B AUM: $30-100M
Late-stage Growth (Global Leaders Fund $3B): 100M minimum
","15-11-21 | Accel (Early),30-11-21 | Accel (Early),30-11-22 | Accel (Early)","""12-08-21 | Accel (Growth), Accel (Early)?Superset"",30-11-21 | Accel (Early)?Ati Motors,30-11-21 | Accel (Early)?Cashify,30-11-21 | Accel (Early)?Ultrahuman,30-11-21 | Accel (Early)?Bureau,30-11-21 | Accel (Early)?HealthAssure,30-11-21 | Accel (Early)?Kaleidofin,""23-03-22 | Accel (Growth), Accel (Early)?Alippo"",""23-03-22 | Accel (Growth), Accel (Early)?ElectricPe"",""23-03-22 | Accel (Growth), Accel (Early)?Euler Motors"",""23-03-22 | Accel (Growth), Accel (Early)?Glamplus"",""23-03-22 | Accel (Growth), Accel (Early)?LoveLocal"",""23-03-22 | Accel (Growth), Accel (Early)?Unocoin"",""23-03-22 | Accel (Growth), Accel (Early)?Zipy"",""02-04-22 | Accel (Growth), Accel (Early)?Scribble Data"",""02-04-22 | Accel (Growth), Accel (Early)?Uolo"",""19-05-22 | Accel (Growth), Accel (Early)?Bureau"",21-05-22 | Accel (Early)?STAGE,21-05-22 | Accel (Early)?Aerem,26-09-23 | Accel (Early)?Qyuki",checked,,checked,"Breathe Wellbeing?BeatO, MyGlamm?Purplle, Mensa Brands?Purplle, Eruditus?Unacademy, ?FactorDaily, ?Taxi For Sure, ?Hotelogix, Onsitego?Servify, Samunnati?Jai Kisan, Fashionza?Wizcommerce, Spyne.ai?Rocketium, Bounce?BatterySmart, Yulu, ?Koo, ?MechMocha, Mobstac?Uniqode, ?Sprinto, ?Systemantics, ?Zolve, Uni Card?Slice",,,"Consumer,BFSI & Fintech,Software & Technology,Edtech & Upskilling,Healthcare & Lifesciences,EV & Mobility,Supply chain & Logistics"
Accel (Growth),TG 1 ($100-500M),,Venture Capital,"""Growth (C,D)"",Late Growth (>$500M)","Consumer,BFSI & Fintech,Software & Technology,Edtech & Upskilling,Healthcare & Lifesciences,EV & Mobility,Supply chain & Logistics",Deep tech,$30M,$15M,$50M,"Rachit Parekh,Prashanth Prakash,Subrata Mitra,Mahendran Balacharan,Rishika Garg,Sanjay Khatri","Swiggy,Spinny,MyGlamm,Zetwerk",https://www.accel.com/,BLR,,,"Sector-agnostic, $15m+ cheques

Note for reference: Accel has multiple vehicles
- Atoms (partner with Blume): $250K standard, uncapped convertible (40-50 in a fund cycle)
- Seed and Series A: $250K - $10M Seed/A (40-50 in a fund cycle)
- Growth cheques: $30-50M (4-5 in a fund)
- Global Growth Fund $2B AUM: $30-100M
- Late-stage Growth (Global Leaders Fund $3B): 100M min","10-05-24 | Accel (Growth),29-10-24 | Accel (Growth)","""12-08-21 | Accel (Growth), Accel (Early)?Superset"",10-08-21 | Accel (Growth)?Squadstack,07-03-21 | Accel (Growth)?Servify,19-10-21 | Accel (Growth)?Pixxel,""23-03-22 | Accel (Growth), Accel (Early)?Alippo"",""23-03-22 | Accel (Growth), Accel (Early)?ElectricPe"",""23-03-22 | Accel (Growth), Accel (Early)?Euler Motors"",""23-03-22 | Accel (Growth), Accel (Early)?Glamplus"",""23-03-22 | Accel (Growth), Accel (Early)?LoveLocal"",""23-03-22 | Accel (Growth), Accel (Early)?Unocoin"",""23-03-22 | Accel (Growth), Accel (Early)?Zipy"",""02-04-22 | Accel (Growth), Accel (Early)?Scribble Data"",""02-04-22 | Accel (Growth), Accel (Early)?Uolo"",""19-05-22 | Accel (Growth), Accel (Early)?Bureau"",05-05-23 | Accel (Growth)?Zopper,05-05-23 | Accel (Growth)?Exotel,24-04-23 | Accel (Growth)?Grey Orange,11-08-23 | Accel (Growth)?Tricog,17-10-23 | Accel (Growth)?Uolo,14-12-23 | Accel (Growth)?Healthify,01-10-24 | Accel (Growth)?Leverage.biz,28-02-24 | Accel (Growth)?Cashify,28-02-24 | Accel (Growth)?Freakins,28-02-24 | Accel (Growth)?Leverage.biz,28-02-24 | Accel (Growth)?Servify,28-02-24 | Accel (Growth)?Tricog",checked,,checked,"Swiggy?Dunzo, ?Spinny, MyGlamm?Purplle",,,Diversified
Accenture,,,Corporate VC,"""Early (A,B)""",,,,,,Tina Philip,,https://www.accenture.com/in-en,BLR,,,,,"23-10-24 | Accenture?Ati Motors,23-10-24 | Accenture?Procol",,,,,Active,,
Access Asset Managers,,,Private Equity,"""Early (A,B)""",,,,,,,"Nobel Hygiene, Alliance, J. K. Shah Classes",,,,,,,,,,,,Inactive,,
Accion,,,Venture Capital,"Angel & Pre-Seed,Seed,""Early (A,B)""","Consumer,BFSI & Fintech,Agritech",,,,,"Amee Parbhoo,Rahil Rangwala","FlexiLoans,Agrim,Annapurna Finance,ZestMoney",,USA (other),,,"Accion Venture Lab is the early-stage investment initiative of Accion, a global nonprofit. Invests in innovative startups that meet the financial needs of underserved people globally.",,,checked,checked,,ZestMoney?Slice,,,"Consumer,BFSI & Fintech,Agritech"
Ace & Company,TG 1 ($100-500M),,Crossover,"""Growth (C,D)"",Late Growth (>$500M),""Mid (B,C)"",""Early (A,B)""","Consumer,Software & Technology,BFSI & Fintech,Healthcare & Lifesciences",,$40M,$30M,$50M,"Lee Lowicki,Sally Beh",GroMo,https://aceandcompany.com/,"London,Europe (other),NYC",,,"Geneva-based $1.5B multi-stage fund, with 1/3rd allocation for private investments across VC, buyout, secondaries. Will not lead.",,01-08-22 | Ace & Company?Ultrahuman,,,checked,,,,"Consumer,Software & Technology"
Achieving Women Equity,,,Venture Capital,,,,,,,Seema Chaturvedi,,,,,,,,,,,,,,,
Acorn Capital,,,Crossover,"""Early (A,B)"",""Mid (B,C)"",""Growth (C,D)"",Public Markets","Healthcare & Lifesciences,BFSI & Fintech,Software & Technology",RE & Infra,,,,,Veeda Clinical Research,https://www.acorncapital.com.au/,,,,"Melbourne-based asset manager in Australian emerging and microcap companies across public and private markets. 
Focuses on sectors such as healthcare, technology, and resources.",,,checked,,,,Active,,
Acquaint Bee,"TG 1 ($100-500M),TG 2 ($500M+)",,Crossover,"Public Markets,""Mid (B,C)"",""Growth (C,D)""","Software & Technology,Healthcare & Lifesciences,BFSI & Fintech,Consumer,Agritech,Edtech & Upskilling,Impact/ESG",,,,,"Bharat Tolani,Piyush Shrishrimal,Vipul Shah",Snapmint,https://acquaintbee.com/,"BOM,DEL",,,"Indian PE investing in both traditional (listed and private businesses) and new-age businesses across early & growth.
Target listed companies with a $100M-$1B MCap.
Target sectors: Healthcare, data analytics, edutech, robotics, AI/ML, retail, pharma/ biotech, consumer, saas, fintech/insurtech and agritech.
",07-01-22 | Acquaint Bee,,checked,,checked,,,,Diversified
Acre Venture Partners,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Gareth Asten," FBN, Meati, Mori",,,,,,,,,,,,,,
Acsys Investments,,,Venture Capital,Seed,,,,,,Shankar Vaidyanathan,"  Purplle, CAMS, Northern Arc Capital, goSTOPS",,,,,,,,,,,,,,
